Name: Striatum [D1], Title: Raster plot from device '5456', Hist: False
269.7 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
269.8 :    6 : [910, 920, 925, 948, 969, 980]
269.9 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
270.0 :    1 : [929]
270.1 :    7 : [911, 952, 954, 968, 971, 973, 975]
270.2 :    4 : [906, 921, 923, 933]
270.3 :    2 : [934, 964]
270.4 :    3 : [905, 926, 937]
270.5 :    1 : [965]
270.6 :    1 : [908]
270.7 :    1 : [916]
270.8 :    3 : [889, 919, 924]
270.9 :    1 : [930]
271.0 :    4 : [890, 904, 931, 958]
271.1 :    4 : [883, 900, 915, 927]
271.2 :    4 : [901, 939, 947, 982]
271.3 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
271.4 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
271.5 :    1 : [892]
271.6 :    6 : [887, 899, 935, 945, 972, 977]
